id,keywords
862,"['jealousi', 'toy', 'boy', 'friendship', 'friend', 'rivalri', 'boynextdoor', 'newtoy', 'toycomestolif']"
8844,"['boardgam', 'disappear', ""basedonchildren'sbook"", 'newhom', 'reclus', 'giantinsect']"
15602,"['fish', 'bestfriend', 'duringcreditssting', 'oldmen']"
31357,"['basedonnovel', 'interracialrelationship', 'singlemoth', 'divorc', 'chickflick']"
11862,"['babi', 'midlifecrisi', 'confid', 'age', 'daughter', 'motherdaughterrelationship', 'pregnanc', 'contracept', 'gynecologist']"
949,"['robberi', 'detect', 'bank', 'obsess', 'chase', 'shoot', 'thief', 'honor', 'murder', 'suspens', 'heist', 'betray', 'money', 'gang', 'catandmous', 'criminalmastermind', 'cultfilm', 'ex-con', 'heistmovi', 'onelastjob', 'loner', 'bankjob', 'neo-noir', 'gunfight', 'crimeep']"
11860,"['pari', 'brotherbrotherrelationship', 'chauffeur', 'longisland', 'millionair']"
45325,[]
9091,"['terrorist', 'hostag', 'explos', 'vicepresid']"
710,"['cuba', 'falselyaccus', 'secretident', 'computervirus', 'secretbas', 'secretintelligenceservic', 'kgb', 'satellit', 'specialcar', 'cossack', 'electromagneticpuls', 'timebomb', 'st.petersburgrussia', 'ejectionseat', 'redarmi']"
9087,"['whitehous', 'usapresid', 'newlov', 'widow', 'wildlifeconserv']"
12110,"['dracula', 'spoof']"
21032,"['wolf', 'alaska', 'dog', 'goos', 'bearattack', 'dogsl']"
10858,"['usapresid', 'presidentialelect', 'watergatescand', 'biographi', 'govern', 'historicalfigur']"
1408,"['exoticisland', 'treasur', 'map', 'ship', 'scalp', 'pirat']"
524,"['poker', 'drugabus', '1970s', 'overdos', 'illegalprostitut']"
4584,"['bowl', 'basedonnovel', 'servant', 'countrylif', 'janeausten', 'inherit', 'militaryoffic', 'perioddrama', 'rainstorm', 'horseandcarriag']"
5,"['hotel', ""newyear'sev"", 'witch', 'bet', 'hotelroom', 'sperm', 'losangel', 'hoodlum', 'womandirector', 'episodefilm']"
